"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AkiDwA: Limerick-based charity Novas has highlighted  how having no home is affecting 
 the development of thousands of children in ire…",FALSE,0,NA,2019-10-21 12:56:35,FALSE,NA,"1186265021921320960",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mac2Uisce",3,TRUE,FALSE,NA,NA
"2","RT @unapower: Oireachtas Secretariat Assistants are paid a salary starting at €23k/year in line with civil service pay.

When we pushed for…",FALSE,0,NA,2019-10-21 12:55:02,FALSE,NA,"1186264633289728005",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Decdoherty",14,TRUE,FALSE,NA,NA
"3","RT @unapower: Oireachtas Secretariat Assistants are paid a salary starting at €23k/year in line with civil service pay.

When we pushed for…",FALSE,0,NA,2019-10-21 12:51:45,FALSE,NA,"1186263805153730566",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EXECUTIVESTEVE",14,TRUE,FALSE,NA,NA
"4","RT @Derina_Johnson: Colleague of mine @cordulab is conducting a really important study on housing experiences of refugees in Ireland. <U+0001F447> Ple…",FALSE,0,NA,2019-10-21 12:50:37,FALSE,NA,"1186263518569488385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElliJWilson",1,TRUE,FALSE,NA,NA
"5","RT @cordulab: I’m excited to recruit participants for my study on the #housing experiences of #refugees in Ireland. I’d love to hear from p…",FALSE,0,NA,2019-10-21 12:49:29,FALSE,NA,"1186263232614486016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TCD_TRiCC",101,TRUE,FALSE,NA,NA
"6","Colleague of mine @cordulab is conducting a really important study on housing experiences of refugees in Ireland. <U+0001F447>… https://t.co/ID45JuqZ01",FALSE,1,NA,2019-10-21 12:48:13,TRUE,NA,"1186262917567729664",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Derina_Johnson",1,FALSE,FALSE,NA,NA
"7","RT @unapower: Oireachtas Secretariat Assistants are paid a salary starting at €23k/year in line with civil service pay.

When we pushed for…",FALSE,0,NA,2019-10-21 12:45:06,FALSE,NA,"1186262131680788482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AliMorris78",14,TRUE,FALSE,NA,NA
"8","RT @gemmaod1: Want an #Ireland without Open Borders Housing and Health Mayhem, Rampant Corruption, Climate Hysteria, Marxist Degeneracy, Di…",FALSE,0,NA,2019-10-21 12:44:10,FALSE,NA,"1186261895323488258",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DomEg2016",74,TRUE,FALSE,NA,NA
"9","RT @unapower: Oireachtas Secretariat Assistants are paid a salary starting at €23k/year in line with civil service pay.

When we pushed for…",FALSE,0,NA,2019-10-21 12:42:21,FALSE,NA,"1186261437800427523",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CalsLaundry",14,TRUE,FALSE,NA,NA
"10","RT @gemmaod1: Want an #Ireland without Open Borders Housing and Health Mayhem, Rampant Corruption, Climate Hysteria, Marxist Degeneracy, Di…",FALSE,0,NA,2019-10-21 12:35:44,FALSE,NA,"1186259775836831745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Just_RJC",74,TRUE,FALSE,NA,NA
