"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Here's some of the homes you can get in Dublin for over €350k.

https://t.co/xsAW8wFJGf https://t.co/qZeZMQv6zb",FALSE,2,NA,2019-10-07 07:05:01,FALSE,NA,"1181103116588130304",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"2","Homes at the exclusive development, a ten minute drive (just under 5km) outside Ashbourne, were designed with famil… https://t.co/WUOJrQVM07",FALSE,1,NA,2019-10-06 16:03:01,TRUE,NA,"1180876120985624579",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"3","Here's some of the great homes you can get in Ireland for €275k on the nose.

https://t.co/vJ7Z7vOGOA https://t.co/aZsJ78heVp",FALSE,3,NA,2019-10-06 07:05:01,FALSE,NA,"1180740728407896064",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"4","Movie night, anyone? <U+0001F37F><U+0001F3A5>

https://t.co/cTOkXqHICT https://t.co/ONjANKriFD",FALSE,1,NA,2019-10-05 16:03:01,FALSE,NA,"1180513733468180480",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"5","Built in 1900, The Old School House in Strawberry Beds, Dub 20, boasts unique interiors and exteriors. An original… https://t.co/qWXUfhjIye",FALSE,1,NA,2019-10-05 07:05:01,TRUE,NA,"1180378339892191232",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"6","The five-bed home, which is on the market for €1,275,000 with accommodation spread across 3 floors over basement an… https://t.co/PAdk84gpfa",FALSE,1,NA,2019-10-04 08:37:29,TRUE,NA,"1180039222666903554",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"7","The last remaining units of this superb new development near the Dublin Mountains are now available. 
Check out the… https://t.co/NKZyh1SBzu",FALSE,1,NA,2019-10-03 13:09:29,TRUE,NA,"1179745288292114433",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"8","Homes at Longstone are designed for family living, with spacious kitchens and living areas, ample storage space and… https://t.co/u2Lh9ByYWp",FALSE,0,NA,2019-10-01 07:05:01,TRUE,NA,"1178928790849892353",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"9","The latest phase of Waterside to be released comprises of 4-bed semi-detached and detached homes. Homes come comple… https://t.co/o8rH4bUYg3",FALSE,0,NA,2019-09-30 16:40:04,TRUE,NA,"1178711116370849799",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"10","Spanning 1,596 sq ft and three floors, prices at Knightsgate start at €375,000. Located in the heart of Rush, these… https://t.co/8wY9afRk7h",FALSE,1,NA,2019-09-30 07:05:02,TRUE,NA,"1178566407715459074",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"11","From a nine-acre piece of land near the sea in Kerry, to a detached lodge outside of Cork city, here are four prope… https://t.co/UhlF8JwJZO",FALSE,0,NA,2019-09-29 16:03:01,TRUE,NA,"1178339406320750592",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
"12","If you’re ready to crawl under the covers or lounge in a luxurious en suite bath, these four homes with next-level… https://t.co/2asdLxPBXe",FALSE,0,NA,2019-09-29 07:05:01,TRUE,NA,"1178204014137221120",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","daftmedia",0,FALSE,FALSE,NA,NA
